school	major	degree	season	decision	gpa	status	GRE_AW	GRE_V	GRE_Quant
University Of Virginia	Religious Studies	PhD	Fall 2022	Accepted		American			
Northeastern University	Criminology	PhD	Fall 2022	Wait listed		American			
Stanford University	East Asian Languages And Cultures	PhD	Fall 2022	Accepted		International			
University Of Pennsylvania	Electrical Engineering	PhD	Fall 2022	Rejected		International			
Western Washington University	Audiology	Other	Fall 2022	Interview		American			
University Of Wisconsin-Madison	Creative Writing	MFA	Fall 2022	Wait listed		American			
University Of California, Los Angeles	East Asian Languages And Cultures	PhD	Fall 2022	Accepted		International			
Princeton University	East Asian Studies	PhD	Fall 2022	Accepted		International			
Yale University	Slavic Languages And Literatures	PhD	Fall 2022	Rejected		American			
Columbia University	Slavic Languages And Literatures	PhD	Fall 2022	Rejected		American			
University Of Texas At Austin	Accounting	PhD	Fall 2022	Accepted		International			
University Of Minnesota	Mechanical Engineering	PhD	Fall 2022	Rejected	3.67	International			
Penn State University	Geography	PhD	Fall 2022	Accepted	3.95	American			
North Carolina State University	Computer Science	Masters	Fall 2022	Accepted		International			
Northeastern University	Computer Science	Masters	Fall 2022	Accepted		International			
New York University (NYU) - Steinhardt	Art Therapy	Masters	Fall 2022	Interview	3.7	American			
School Of The Art Institute Of Chicago (SAIC)	Art Therapy And Counseling	Masters	Fall 2022	Interview	3.67	American			
George Washington University	Art Therapy	Masters	Fall 2022	Interview	3.67	American			
Pratt Institute	Art Therapy	Masters	Fall 2022	Interview	3.67	American			
Howard University	Clinical Psychology	PhD	Fall 2022	Rejected		American			
University Of Texas At Austin	Musicology	PhD	Fall 2022	Accepted	3.89	American			
School Of Visual Arts	Art Therapy	Masters	Fall 2022	Interview	3.67	American			
New York University	English	PhD	Fall 2022	Interview	4.0	American			
University Of Missouri	Speech Language Pathology	Masters	Fall 2022	Accepted	3.27	American	4.0	145.0	151.0
Dartmouth College	Medical Physics	PhD	Fall 2022	Interview		International			
University Of New Mexico	Chicana And Chicano Studies	PhD	Fall 2022	Accepted		American			
University Of California, Los Angeles	Biengineering	PhD	Fall 2022	Accepted	3.91	American		167.0	164.0
Columbia University	Journalism	Masters	Fall 2022	Accepted	3.93	American			
Brown University	Computer Science	PhD	Fall 2022	Rejected		International			
University Of Tennessee	Creative Writing	MFA	Fall 2022	Accepted		American			
University Of Illinois	Computer Science	PhD	Fall 2022	Rejected		International			
University Of Illinois	Computer Science	Masters	Fall 2022	Rejected		International			
NC State University (NCSU)	Creative Writing	MFA	Fall 2022	Accepted		American			
University Of Illinois	Materials Science And Engineering	PhD	Fall 2022	Rejected	3.9	International		157.0	169.0
SUNY Stony Brook	Computer Science	Masters	Fall 2022	Accepted		International			
Texas A&M University - College Station (TAMU)	Computer Science	Masters	Fall 2022	Accepted	3.58	International			167.0
University Of Illinois	Computer Science	Masters	Fall 2022	Rejected	3.58	American	4.5	162.0	167.0
California State University Northridge	Clinical Psychology	Masters	Fall 2022	Rejected		American			
University Of Illinois At Urbana-Champaign (UIUC)	Computer Science	Masters	Fall 2022	Rejected		American		165.0	167.0
University Of California, Berkeley	Ethnomusicology	PhD	Fall 2022	Rejected	3.96	American			
Iowa State University	Economics	PhD	Fall 2022	Accepted	3.71	International	4.0	155.0	170.0
Oregon State University	Robotics	PhD	Fall 2022	Wait listed	3.8	American			
New York University	Musicology	PhD	Fall 2022	Rejected	3.96	American			
University Of California, Berkeley	Bioengineering	Masters	Fall 2022	Accepted	3.74	International			
University Of Illinois At Urbana-Champaign	Computer Science	PhD	Fall 2022	Rejected		International			
Columbia University	Biomedical Engineering	PhD	Fall 2022	Rejected		International			
University Of Pennsylvania	Physics	PhD	Fall 2022	Rejected	3.96	American			
Johns Hopkins University	Biomedical Engineering	Masters	Fall 2022	Accepted		International			
Appalachian State University	Speech Language Pathology	Masters	Fall 2021	Accepted	3.96	American	4.0	147.0	147.0
Ohio State University	Physics	PhD	Fall 2022	Wait listed		American			
James Madison University	Clinical & School Psychology		Fall 2022	Interview		American			
Vanderbilt University	Physics	PhD	Fall 2022	Wait listed		American			
University Of Miami	Architecture	Masters	Fall 2022	Accepted	3.87	American			
Syracuse University	Architecture	Masters	Fall 2022	Accepted	3.87	American			
Carleton University	Architecture	Other	Fall 2022	Accepted		Other			
Stanford University	ICME	Masters	Fall 2022	Accepted	3.7	International	4.5	157.0	169.0
Tufts University	English	PhD	Fall 2022	Rejected		International			
University Of Rochester	Data Science	Masters	Fall 2022	Accepted	3.93	International			
Texas A&M University - College Station (TAMU)	Computer Science	Masters	Fall 2022	Accepted	3.32	International	5.0	155.0	167.0
Western Washington University	English	MFA	Fall 2022	Wait listed	3.92	American			
University Of Pennsylvania	Mechanical Engineering And Applied Mechanics	Masters	Fall 2022	Accepted	3.86	International			
University Of Cincinnati	Philosophy	PhD	Fall 2022	Wait listed		American			
California State University Long Beach	Social Work	Masters	Fall 2022	Accepted	3.4	American			
Brown University	Computer Science	PhD	Fall 2022	Interview	3.35	International			
University Of Florida	Biostatistics	PhD	Fall 2022	Accepted	3.2	International	3.0	169.0	152.0
Brown University	Physics	PhD	Fall 2022	Accepted		American			
University Of Washington	Human Computer Interaction + Design (MHCI+D)	Masters	Fall 2022	Accepted	3.5	International			
University Of Virginia	Philosophy	PhD	Fall 2022	Rejected		American			
University Of California, Los Angeles	Physics	PhD	Fall 2022	Accepted	3.65	American			
Arizona State University	Sustainability Solutions	Masters	Fall 2022	Accepted	3.9	American			
University Of Iowa	Speech Language Pathology	Masters	Fall 2022	Accepted	3.99	American			
Indiana University Bloomington	Musicology	Masters	Fall 2022	Accepted	3.98	American			
Teachers College	Cognitive Science In Education	Masters	Fall 2022	Accepted	3.41	American			
Oregon State University	Creative Writing	MFA	Fall 2022	Wait listed		American			
UNC Chapel Hill	Philosophy	PhD	Fall 2022	Accepted		American			
Cornell University	Civil Engineering	PhD	Fall 2022	Interview	3.7	American			
University Of Illinois	Economics	PhD	Fall 2022	Accepted	3.8	International			170.0
George Washing	Clinical Psychology		Fall 2022	Wait listed		American			
Ohio State University	SENR	PhD	Fall 2022	Accepted		American			
University Of Washington	Anthropology	Other	Fall 2022	Interview	3.9	Other			
University Of Iowa	Speech Language Pathology	Masters	Fall 2022	Accepted	3.97	American			
Yale University	Environment	PhD	Fall 2022	Wait listed		International			
University Of Massachusetts, Amherst	Anthropology	PhD	Fall 2022	Rejected	3.96	American			
Yale University	Anthropology	PhD	Fall 2022	Rejected	3.9	American			
University Of Texas At Austin	Philosophy	PhD	Fall 2022	Accepted		American			
University Of Kentucky	Clinical Psychology	PhD	Fall 2022	Rejected	3.5	American			
University Of Virginia	Philosophy	PhD	Fall 2022	Rejected		American			
University Of Pennsylvania	Mechanical Engineering	PhD	Fall 2022	Rejected		International			
Yale University	EPS	PhD	Fall 2022	Rejected		International			
University Of Minnesota	English	PhD	Fall 2022	Rejected	4.0	American			
Carnegie Mellon University	History	Masters	Fall 2022	Wait listed	3.93	American			
University Of California, San Diego	Mathematics	PhD	Fall 2022	Accepted	3.95	International			
University Of Notre Dame	Applied And Computational Mathematics And Statistics	PhD	Fall 2022	Accepted		International			
Michigan State University	Economics	PhD	Fall 2022	Accepted	3.99	American	5.0	161.0	165.0
Yale University	Philosophy	PhD	Fall 2022	Rejected		American	5.5	169.0	166.0
Tilburg University	Economics	PhD	Fall 2022	Interview		International			
University Of Illinois	Economics	PhD	Fall 2022	Rejected		International			170.0
SUNY Stony Brook	Applied Mathematics	PhD	Fall 2022	Accepted	3.95	International			
Case Western Reserve University	Biomedical And Health Informatics	PhD	Fall 2022	Accepted		International			
University Of Illinois	Economics	PhD	Fall 2022	Wait listed	3.71	International	4.0	155.0	170.0
University Of Illinois	Economics	PhD	Fall 2022	Rejected		International			166.0
University Of Southern Mississippi	Clinical Psychology	PhD	Fall 2022	Wait listed		American			
Tulane University	History	PhD	Fall 2022	Accepted	3.75	American			
University Of Texas At Austin	School Psychology	PhD	Fall 2022	Rejected		American			
University Of California, Berkeley	Education	Other	Fall 2022	Wait listed		Other			
University Of Illinois	Economics	PhD	Fall 2022	Rejected	3.9	International			170.0
Harvard University	Computer Science	PhD	Fall 2022	Rejected	3.5	American	4.0	170.0	167.0
University Of Southern California	Computer Science	Masters	Fall 2022	Accepted	3.88	International	5.0	163.0	170.0
University Of California, Los Angeles (UCLA)	Bioengineering	PhD	Fall 2021	Interview	3.97	American			170.0
University Of Oxford	Psychological Research	Masters	Fall 2022	Rejected		International			
Teaching & Diversity, Peabody College, Vanderbilt University	Learning	PhD	Fall 2022	Accepted		American			
Baldwin Wallace University	Speech-Language Pathology	Masters	Fall 2022	Accepted	3.45	American			
Yeshiva University	Clinical Psychology		Fall 2022	Interview		American			
Palo Alto University	Clinical Psychology		Fall 2022	Interview		American			
University Of Virginia	Computer Science	PhD	Fall 2022	Accepted	3.72	International			
University Of Virginia	Computer Science	PhD	Fall 2022	Interview	3.72	International			
Peabody College, Vanderbilt University	Leadership & Policy Studies	PhD	Fall 2022	Interview		American			
Institutions, & Society, Harvard Graduate School Of Education	Culture	PhD	Fall 2022	Interview		American			
South Harmon Institute Of Technology	Animal Sexual Stimulation	PhD	Fall 2022	Accepted		International			
University Of Wisconsin-Madison	Education Policy Studies	PhD	Fall 2022	Interview	4.0	American			
University Of Virginia	BIMS Program	PhD	Fall 2022	Accepted		International			
Scripps Research	Chemical And Biological Sciences	PhD	Fall 2022	Interview		International			
History & Theory Of Rhetoric, UNC Greensboro	English	PhD	Fall 2022	Accepted		American			
University Of Chicago	Computer Science	PhD	Fall 2022	Interview		International			
Temple University	Art History	PhD	Fall 2022	Accepted	4.0	American			
University Of Virginia	Public Policy	Masters	Fall 2022	Accepted	3.94	American			
University Of Southern California	Computer Science	Masters	Fall 2022	Accepted	3.96	International			
University Of Illinois Urbana-Champaign	Chemical Engineering	PhD	Fall 2022	Accepted		International			
Carnegie Mellon University	Joint CMU-Pitt Ph.D. Program In Computational Biology	PhD	Fall 2022	Interview		International			
Northwestern University	Health Sciences Integrated Program	PhD	Fall 2022	Interview	3.91	International			
Oxford University	Psychological Research	Masters	Fall 2022	Rejected		International			
Carnegie Mellon University	Mechanical Engineering	PhD	Fall 2022	Interview		International			
Michigan State University	Computer Science	PhD	Fall 2022	Interview	3.7	International			
The Ohio State University	English	PhD	Fall 2022	Rejected		American			
Cornell University	Classics	PhD	Fall 2022	Interview	3.96	American			
Princeton University	Mathematics	PhD	Fall 2022	Wait listed		International			
University Of British Columbia Okanagan	Clinical Psychology	Other	Fall 2022	Interview		Other			
Ohio State University	Political Science	PhD	Fall 2022	Accepted		International			
Boston University	Biomedical Engineering	Masters	Fall 2022	Accepted	4.0	American			
Yale University	Chemistry	PhD	Fall 2022	Accepted	4.0	International			
Ohio State University	English	PhD	Fall 2022	Accepted		American			
Loma Linda University	Clinical Psychology	PhD	Fall 2022	Interview		American			
Northwestern University	Mechanical Engineering	PhD	Fall 2022	Accepted	3.96	International	3.5	153.0	167.0
Columbia University	Religion	PhD	Fall 2022	Interview		American			
University Of Illinois	Linguistics	PhD	Fall 2022	Interview	3.95	International			
Drexel University	Biostatistics	PhD	Fall 2022	Interview	3.94	American	5.0	165.0	163.0
Johns Hopkins University	Biostatistics	Masters	Fall 2022	Interview	3.94	American	5.0	165.0	163.0
University Of California, Santa Cruz	Anthropology	PhD	Fall 2022	Accepted	3.8	American	4.5	165.0	148.0
North Carolina State University	English	Masters	Fall 2022	Accepted	3.63	International			
Duquesne University	Biology	PhD	Fall 2022	Accepted		American			
University Of British Columbia	Asian Studies	PhD	Fall 2022	Accepted		International			
San Diego State University	Speech Language Pathology	Masters	Fall 2022	Rejected	3.79	American			
George Washington University	Speech Language Pathology	Masters	Fall 2022	Accepted	3.79	American			
University Of Toronto	Epidemiology	Other	Fall 2022	Interview		Other			
Auburn University	Speech Language Pathology	Masters	Fall 2022	Accepted	4.0	American	5.0	156.0	149.0
Columbia University	Clinical Psychology: Spirituality Mind Body	Masters	Fall 2022	Interview	3.89	American			
University Of California, Berkeley	Statistics	Masters	Fall 2022	Rejected	3.6	American			
Carnegie Mellon University	Statistical Practice	Masters	Fall 2022	Accepted	3.6	American			
